id,title,details,target_amount,start_date,end_date,creator_id
1,School Supplies Drive,Funds to buy school kits for children in Upper Egypt,15000.50,2025-06-01,2025-06-30,1
2,Food Aid Ramadan,Food packages for low-income families during Ramadan,50000.00,2025-03-10,2025-04-05,2
3,Medical Camp,Free medical check-ups and medicines in rural areas,25000.00,2025-07-01,2025-07-15,3
4,Orphanage Support,Renovation and furnishing of an orphanage in Cairo,100000.00,2025-05-20,2025-06-20,4
5,Women Empowerment Workshops,Workshops to support women with skills training,40000.75,2025-08-01,2025-09-01,5
6,Tech for Youth,Providing laptops for students in remote villages,75000.00,2025-06-10,2025-07-10,6
7,Clean Water Project,Installing water filters in poor neighborhoods,30000.00,2025-07-15,2025-08-15,7
8,Disability Aid Program,Supplying wheelchairs and support tools,45000.00,2025-09-01,2025-09-30,8
9,Green Cairo,Planting trees and promoting environmental awareness,20000.00,2025-05-25,2025-06-25,9
10,School Renovation Beni Suef,Fixing public schools and improving infrastructure,90000.00,2025-10-01,2025-11-01,10
